,Stroma,Nephron progenitor,Endothelium,Nephron epithelium,Immune
NR/17:nuclearreceptor,0.0035294248679049395,0.0037196366962654374,0.0035066177157229866,0.01255176233815465,0.006154896954325965
RFX/2:RFX,-0.0008594076378572293,-0.0006400793727432476,-0.0013172830329818829,-0.00032502666842084874,-0.0007335211591111332
KLF/SP/1:C2H2,-0.00010433001583912889,-8.411386476504608e-05,0.0006089567626058354,0.00023530678224268118,0.0006030545721231938
NR/5:nuclearreceptor,5.199503503744756e-05,-3.940544281092046e-05,0.0002822968568106673,3.146671787935154e-05,0.00039731473580799804
HD/17:homeodomain,-9.91171623194104e-05,-0.00013523730543826018,9.415199296610858e-05,-9.534236125042566e-05,-0.00021041019795518785
AP1/2:bZIP,0.0018700229962739874,0.002947342752192456,0.001072336427893028,0.002174392428558111,0.001968372273249133
FOX/4:forkhead,0.034635716939673704,0.030730606697929593,0.027652455691554365,0.01637289667233238,0.02341575305508509
POU/3:POU,-0.010996041315443376,-0.011483126527701433,-0.011220786066674818,-0.014214493844999777,-0.012250646487231348
EGR:C2H2,0.0016970544354990124,0.00015982948422718507,0.0016022961485448407,-0.0057204196215675275,-0.0014511194988172413
SMAD:SMAD,-0.0033194267560782676,-0.004474137977768596,-0.003445876901012475,-0.003480916502054818,-0.004264320533093848
CCAAT/CEBP:bZIP,-0.0005585760857308612,0.0006230008877467369,0.0011917723371481447,0.001083825926220308,0.0006859724623760126
HD/6:homeodomain,0.00041057093505434533,0.0003041347177224032,0.0008382775549886888,0.0006578178722909011,0.00021991295553362082
HD/2:homeodomain,-0.009447534305646139,-0.008561153068708686,-0.010420768304842792,-0.008152452686827292,-0.012923137516162957
NR/1:nuclearreceptor,-8.41929011304434e-05,2.4437936940557847e-05,-4.380978671903206e-05,0.0003807921046156489,9.702323985235636e-05
HINFP1/1:C2H2,0.0001717027210548515,0.000265242953460424,0.00028454868152039126,-6.748443500333136e-05,0.00017909067000033293
NFY:NFY,-7.145129416548624e-07,1.913355810729993e-07,-2.3724779138516723e-07,-1.4276459895005496e-07,-3.744527338130139e-08
RFX/3:RFX,-0.00017828420171313422,4.6969285353253115e-05,4.42574289832321e-06,0.0002496756178322198,6.068689856546672e-05
NR/7:nuclearreceptor,0.000544816462591852,-0.0002609197786031158,1.6409091299402922e-05,-0.0011377999837336506,-0.00014325177763195064
P53-like/1:P53L,0.002170982250176808,0.002793814176066707,0.0019831102299950505,0.0027397049494931854,0.002625309133859185
CREB/ATF/2:bZIP,0.0011424360253252362,0.0009063777147625493,-0.001409105744455265,0.0014575081521839117,-0.00010383659219873744
NR/16:nuclearreceptor,-1.9511204054790874e-06,9.019650875949572e-06,1.6523072997175678e-05,1.3159642386502337e-05,8.818668414427803e-06
